sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
15826.0,15826.0,0.0,7913.0,24.475444,-103.357222,1810.0,0,0,1,0,1,0,1,0,0,0,1,0.5,Durango
5489.0,5489.0,0.0,182234.8,18.683491,-100.186048,1825.0,0,1,0,0,1,0,0,0,1,0,6,33.2,México
3220.0,3220.0,0.0,27949.6,20.871215,-101.517117,1751.0,0,0,1,1,0,0,0,1,0,0,2,8.68,Guanajuato
4460.0,4460.0,0.0,27830.8,19.554444,-103.372222,1129.0,0,0,1,0,1,0,0,1,0,0,2,6.24,Jalisco
5883.0,5563.82,319.18,6163.82,21.808336,-105.206044,14.0,1,0,0,1,0,0,1,0,0,0,7,1.11,Nayarit
18750.0,18750.0,0.0,183750.0,24.859653,-99.567869,350.0,0,1,0,0,1,0,0,0,1,0,6,9.8,Nuevo León
100.0,100.0,0.0,13177.0,19.7475,-103.765278,1260.0,1,0,0,1,0,0,0,0,0,1,4,131.77,Jalisco
16120.0,16120.0,0.0,203918.0,28.548193,-107.486924,2002.0,0,0,1,0,1,1,0,0,0,0,5,12.65,Chihuahua
157.0,157.0,0.0,9190.4,27.336868,-112.268275,5.0,0,0,1,1,0,0,0,0,0,1,7,58.54,Baja California Sur
5900.0,5900.0,0.0,25370.0,15.660164000000002,-92.14105,645.0,1,0,0,1,0,0,0,1,0,0,3,4.3,Chiapas
3115.0,3115.0,0.0,26172.15,20.906389,-103.976111,1390.0,0,0,1,0,1,0,0,1,0,0,2,8.4,Jalisco
110.0,110.0,0.0,9628.6,19.323199,-103.758801,601.0,0,0,1,1,0,0,0,0,0,1,4,87.53,Colima
8279.0,8279.0,0.0,28585.95,19.955269,-100.164457,2497.0,0,0,1,0,1,0,0,1,0,0,2,3.45,Michoacán
62.0,62.0,0.0,12002.76,22.151655,-100.976958,1864.0,0,0,1,1,0,0,0,0,0,1,4,193.59,San Luis Potosí
4542.8,4542.8,0.0,32866.7,25.980996,-98.090138,28.0,1,0,0,1,0,0,0,1,0,0,3,7.23,Tamaulipas
5140.0,5074.0,66.0,6184.98,22.395041,-105.456034,10.0,1,0,0,0,1,0,1,0,0,0,3,1.22,Nayarit
5810.0,5810.0,0.0,27464.3,20.864167,-103.239167,1647.0,0,0,1,0,1,0,0,1,0,0,2,4.73,Jalisco
75.0,75.0,0.0,10301.7,18.925711,-99.768519,2262.0,0,0,1,1,0,0,0,0,0,1,4,137.36,México
10787.0,10787.0,0.0,25133.71,15.660164000000002,-92.14105,645.0,0,0,1,0,1,0,0,1,0,0,2,2.33,Chiapas
10668.0,10668.0,0.0,140924.28,24.023988,-104.670194,1890.0,0,0,1,0,1,1,0,0,0,0,5,13.21,Durango
3375.37,3375.37,0.0,5265.58,26.421599,-108.619966,81.0,1,0,0,1,0,0,1,0,0,0,7,1.56,Sinaloa
47.0,47.0,0.0,4904.0,21.846907,-102.718751,1632.0,0,0,1,1,0,0,0,0,0,1,4,104.34,Aguascalientes
5030.0,5030.0,0.0,27625.0,20.115974,-102.652361,1532.0,0,0,1,0,1,0,0,1,0,0,2,5.49,Michoacán
6305.0,6300.0,0.0,134316.0,16.988854,-99.260876,431.0,0,1,0,0,1,0,0,0,1,0,6,21.32,Guerrero
7250.0,7250.0,0.0,21750.0,17.990978,-94.548444,17.0,1,0,0,0,1,0,0,1,0,0,3,3.0,Veracruz
2575.86,2575.86,0.0,25959.15,25.783417,-108.994343,9.0,0,0,1,1,0,0,0,1,0,0,7,10.08,Sinaloa
2729.0,2729.0,0.0,26873.05,20.626478,-101.670386,1722.0,0,0,1,1,0,0,0,1,0,0,2,9.85,Guanajuato
151.0,151.0,0.0,20564.3,27.127705,-109.842611,17.0,1,0,0,1,0,0,0,0,0,1,7,136.19,Sonora
14998.0,14998.0,0.0,172477.0,28.241111,-106.836667,2017.0,0,0,1,0,1,1,0,0,0,0,5,11.5,Chihuahua
3063.0,3063.0,0.0,26955.4,20.376517,-101.063975,1716.0,0,0,1,1,0,0,0,1,0,0,2,8.8,Guanajuato
2679.0,2679.0,0.0,28879.62,20.386441,-99.999632,1928.0,0,0,1,1,0,0,0,1,0,0,2,10.78,Querétaro
3658.2,3658.2,0.0,25045.7,25.034434,-111.673218,49.0,0,0,1,1,0,0,0,1,0,0,7,6.85,Baja California Sur
8274.0,8274.0,0.0,5874.54,28.406312,-106.866044,2062.0,0,0,1,0,1,0,1,0,0,0,1,0.71,Chihuahua
3020.0,3020.0,0.0,24800.0,20.6432,-100.994037,1755.0,0,0,1,1,0,0,0,1,0,0,2,8.21,Guanajuato
6000.0,6000.0,0.0,24600.0,19.557599,-99.6086,2751.0,0,0,1,0,1,0,0,1,0,0,2,4.1,México
976.0,976.0,0.0,37771.2,25.565547,-108.471818,21.0,1,0,0,1,0,0,0,0,0,1,7,38.7,Sinaloa
3450.0,3450.0,0.0,6819.5,22.746782,-102.518802,2279.0,0,0,1,1,0,0,1,0,0,0,1,1.98,Zacatecas
7320.0,7320.0,0.0,27798.51,20.039677,-90.225763,8.0,0,0,1,0,1,0,0,1,0,0,2,3.8,Campeche
15178.0,15178.0,0.0,8015.67,22.875964,-102.540884,2305.0,0,0,1,0,1,0,1,0,0,0,1,0.53,Zacatecas
2880.0,2880.0,0.0,26208.0,20.511372,-100.996503,1731.0,0,0,1,1,0,0,0,1,0,0,2,9.1,Guanajuato
